Date,Time,NQ
1140819,0,3958.25
1140820,0,3969.75
1140821,0,3974.5
1140822,0,3987.5
1140824,2115,4001.5
1140825,0,4008.5
1140826,0,4001.25
1140827,0,4010.5
1140828,0,4009
1140829,0,4012
1140831,1715,4018.5
1140901,0,4022.5
1140902,0,4023
1140903,0,4032.25
1140904,0,4009
1140905,0,4004
1140907,1715,4022.5
1140908,0,4021.25
1140909,0,4023.75
1140910,0,3999.5
1140911,0,4029.25
1140912,0,4029.5
1140914,1715,3993.25
1140915,0,3992.5
1140916,0,3970.75
1140917,0,3999.5
1140918,0,4010.25
1140919,0,4061.5
1140921,1715,4034
1140922,0,4016.75
1140923,0,3997.5
1140924,0,3986.5
1140925,0,4030
1140926,0,3957.25
1140928,1715,3986.75
1140929,0,3983.25
1140930,0,3984.5
1141001,0,3983.25
1141002,0,3930.5
1141003,0,3931.5
1141005,1715,3968.75
1141006,0,3973
1141007,0,3954.25
1141008,0,3908.5
1141009,0,3986.25
1141010,0,3898.25
1141012,1715,3784
1141013,0,3773.75
1141014,0,3761.5
1141015,0,3757
1141016,0,3702.5
1141017,0,3691.5
1141019,1715,3764.5
1141020,0,3774.25
1141021,0,3801
1141022,0,3915.5
1141023,0,3891
1141024,0,3930.25
1141026,1715,3982.5
1141027,0,3986.25
1141028,0,3992
1141029,0,4023.25
1141030,0,4020.5
1141031,0,4060
1141102,1715,4092.5
1141103,0,4089.75
1141104,0,4095.25
1141105,0,4110.5
1141106,0,4079.75
1141107,0,4118.25
1141109,1715,4094.75
1141110,0,4102
1141111,0,4122.5
1141112,0,4123
1141113,0,4146
1141114,0,4155.75
1141116,1715,4163.75
1141117,0,4149
1141118,0,4157
1141119,0,4179.25
1141120,0,4162.75
1141121,0,4193.5
1141123,1715,4198.75
1141124,0,4195.75
1141125,0,4222.75
1141126,0,4243
1141127,0,4264.75
1141128,0,4275.75
1141130,1715,4272.75
1141201,0,4274
1141202,0,4236
1141203,0,4252.75
1141204,0,4261
1141205,0,4256.5
1141207,1715,4259.5
1141208,0,4258.5
1141209,0,4217.25
1141210,0,4234.25
1141211,0,4179.75
1141212,0,4173.5
1141214,1715,4132.75
1141215,0,4151.5
1141216,0,4107.5
1141217,0,4046
1141218,0,4102.75
1141219,0,4243.25
1141221,1715,4237
1141222,0,4234.25
1141223,0,4247
1141224,0,4235.5
1141225,1715,4240
1141226,0,4241.25
1141228,1715,4261.75
1141229,0,4267.5
1141230,0,4262.25
1141231,0,4239.5
1150101,1715,4195.75
1150102,0,4204
1150104,1715,4153.75
1150105,0,4164
1150106,0,4108.75
1150107,0,4059.75
1150108,0,4132
1150109,0,4182.5
1150111,1715,4157.5
1150112,0,4146.75
1150113,0,4126
1150114,0,4091.5
1150115,0,4119
1150116,0,3999.25
1150118,1715,4076.25
1150119,0,4080.5
1150120,0,4098.5
1150121,0,4122.5
1150122,0,4136.5
1150123,0,4207.5
1150125,1715,4195.25
1150126,0,4199.5
1150127,0,4220.5
1150128,0,4177.25
1150129,0,4068.5
1150130,0,4140.5
1150201,1715,4094.75
1150202,0,4094.5
1150203,0,4119
1150204,0,4161.75
1150205,0,4141.5
1150206,0,4199.25
1150208,1715,4167.5
1150209,0,4165.75
1150210,0,4169.75
1150211,0,4225.25
1150212,0,4250.75
1150213,0,4298
1150215,1715,4327.5
1150216,0,4327.75
1150217,0,4320.25
1150218,0,4336
1150219,0,4337.5
1150220,0,4363.75
1150222,1715,4390
1150223,0,4391
1150224,0,4397.5
1150225,0,4397.75
1150226,0,4389.25
1150227,0,4408
1150301,1715,4400.25
1150302,0,4399.75
1150303,0,4425
1150304,0,4406.25
1150305,0,4394.5
1150306,0,4399
1150308,1715,4355
1150309,0,4350.75
1150310,0,4355
1150311,0,4292
1150312,0,4268
1150313,0,4285.75
1150315,1715,4258.75
1150316,0,4260.75
1150317,0,4308.25
1150318,0,4330.25
1150319,0,4384.5
1150320,0,4385.25
1150322,1715,4415.75
1150323,0,4411.25
1150324,0,4398.5
1150325,0,4384.5
1150326,0,4277.5
1150327,0,4276.75
1150329,1715,4285.5
1150330,0,4299.75
1150331,0,4325
1150401,0,4257.75
1150402,0,4264.25
1150403,0,4262.5
